anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions,definition,web_search_sources
Milepælhøj,Milestone mound,undo,20,Historisk Tid,"{'Historisk Tid': 12, 'Nyere tid': 8}","En milepælhøj er et sted, hvor der er placeret en milepæl, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Risvej,Rice road,ad,19,Middelalder,"{'Middelalder': 5, 'Jernalder': 3, 'Oldtid': 3, 'Vikingetid': 3, 'Bronzealder': 2, 'Stenalder': 2, 'Udateret': 1}","En risvej er et vandløb, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Vandingsanlæg,Irrigation plants,plane,19,Nyere tid,"{'Nyere tid': 14, 'Historisk Tid': 3, 'Efterreformatorisk tid': 1, 'Udateret': 1}","Et vandingsanlæg er et sted, hvor der er plads til at fiskere, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Dige (kystsikring),Dig (coastal protection),route,19,Nyere tid,"{'Nyere tid': 12, 'Historisk Tid': 3, 'Efterreformatorisk tid': 2, 'Udateret': 2}","En dige er et gravet hul i jorden, som kan have fungeret som afmærkning af en kystsikring, og som ofte er kendetegnet ved sine bredere målinger end en normal dige.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kloak,Sewerage,gem,19,Nyere tid,"{'Nyere tid': 17, 'Historisk Tid': 2}","Et kloak er et sted, hvor der er plads til at gøre sine fysiske behov, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et hvidt hjemme.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kommunikationsanlæg,Communication facilities,cat,19,Nyere tid,{'Nyere tid': 19},"Et kommunikationsanlæg er et sted, hvor der har været kommunikation, f.eks. et posthus eller et telegrafkontor, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Dyregrav,Animal grave,grav,18,Jernalder,"{'Jernalder': 6, 'Nyere tid': 4, 'Middelalder': 2, 'Vikingetid': 2, 'Efterreformatorisk tid': 1, 'Historisk Tid': 1, 'Oldtid': 1, 'Udateret': 1}","En dyregrav er et sted, hvor der har været produktion af dyr, f.eks. får, høns eller andre fjerkriger, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Dambrug,Farming,ring,18,Nyere tid,"{'Nyere tid': 10, 'Historisk Tid': 5, 'Middelalder': 2, 'Efterreformatorisk tid': 1}","En dambrug er et vandløb, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Præstegård,Preacher's Farm,stripe-s,18,Nyere tid,"{'Nyere tid': 8, 'Historisk Tid': 7, 'Middelalder': 2, 'Efterreformatorisk tid': 1}","En præstegård er et sted, hvor der har været produktion af frugt, f.eks. æbler, pærer eller andre frugter, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Krypt,Encrypt,crop,18,Historisk Tid,"{'Historisk Tid': 10, 'Nyere tid': 4, 'Efterreformatorisk tid': 3, 'Middelalder': 1}","En krypt er et sted, hvor der har været begravelse af en eller flere personer, og som ofte er kendetegnet ved sine særlige konstruktioner og aktiviteter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Jættestue med bikammer,Entire living room with bee chamber,hammer,18,Stenalder,{'Stenalder': 18},"En jættestue med bikammer er en gravhøj, der er kendetegnet ved sine store størrelser og særlige konstruktioner, og som indeholder flere gravkamre.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Værksted,Workshop,place-of-worship,17,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 3, 'Jernalder': 2, 'Middelalder': 2, 'Stenalder': 2, 'Udateret': 2}","Et værksted er et sted, hvor der har været produktion af varer, f.eks. stål, cement eller andre industrielle produkter, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Sejlspærring,Sailing barrier,bars,17,Udateret,"{'Udateret': 8, 'Middelalder': 5, 'Historisk Tid': 1, 'Jernalder': 1, 'Oldtid': 1, 'Vikingetid': 1}","En sejlspærring er et vandløb, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Trævarer,Wood products,road,17,Nyere tid,"{'Nyere tid': 5, 'Jernalder': 4, 'Historisk Tid': 3, 'Middelalder': 3, 'Oldtid': 1, 'Udateret': 1}","En trævarer er en type sten, der ofte bruges til trædestole, og som er kendetegnet ved sine lange, smalle former.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Grus,Gravel,gavel,17,Nyere tid,"{'Nyere tid': 8, 'Historisk Tid': 3, 'Middelalder': 3, 'Jernalder': 2, 'Udateret': 1}","Grus er et materiale, der er lavet af jord, f.eks. kalksten eller jord, og som ofte er brugt til at lave cement, kalkmaler eller andre kalkprodukter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Båd-/skibsværft,Boat/ship yard,at,16,['Historisk Tid' 'Jernalder'],"{'Historisk Tid': 4, 'Jernalder': 4, 'Middelalder': 3, 'Nyere tid': 2, 'Vikingetid': 2, 'Udateret': 1}","En båd- eller skibsværft er et sted, hvor der er plads til at skibe kan lægge an, og som ofte er kendetegnet ved sine mole, kaje og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Embedsbolig,Official residence,vial,16,Middelalder,"{'Middelalder': 8, 'Nyere tid': 4, 'Historisk Tid': 3, 'Efterreformatorisk tid': 1}","En embedsbolig er et sted, hvor der har været produktion af fødevarer, f.eks. korn, kartofler eller andre fødevarer, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Militærdepot,Military depot,amilia,15,Nyere tid,"{'Nyere tid': 14, 'Historisk Tid': 1}","Et militærdepot er et sted, hvor der er placeret militært materiel, f.eks. kanoner, våben og andre militære udstyr, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Fangstgrube,Catch pit,at,15,Nyere tid,"{'Nyere tid': 9, 'Historisk Tid': 2, 'Middelalder': 2, 'Stenalder': 1, 'Udateret': 1}","En fangstgrube er et sted, hvor der har været et fangst, og som ofte er kendetegnet ved sine store størrelser og særlige konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Benhob,Benhob,ban,15,['Bronzealder' 'Jernalder' 'Oldtid'],"{'Bronzealder': 3, 'Jernalder': 3, 'Oldtid': 3, 'Udateret': 2, 'Historisk Tid': 1, 'Nyere tid': 1, 'Stenalder': 1, 'Vikingetid': 1}","Et benhob er et sted, hvor der har været produktion af uld, f.eks. i en uldspinder, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Rådhus,City hall,city,15,Historisk Tid,"{'Historisk Tid': 8, 'Middelalder': 4, 'Nyere tid': 3}","Et rådhus er et sted, hvor der har været produktion af uld, f.eks. i en uldspinder, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kors,"Oh, my God.",bold,15,Historisk Tid,"{'Historisk Tid': 8, 'Nyere tid': 5, 'Middelalder': 1, 'Vikingetid': 1}","Et kors er et stykke træ, der er brugt til at lave tøj, tæpper eller andre tekstiler.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Øvelsesområde,Exercise Area,beer,14,Nyere tid,{'Nyere tid': 14},"Et øvelsesområde er et sted, hvor der har været et arrangement, f.eks. en koncert, en udstilling eller andre begivenheder, og som ofte er kendetegnet ved sine særlige konstruktioner og aktiviteter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Stenbrud,Stone fracture,react,14,Historisk Tid,"{'Historisk Tid': 4, 'Bronzealder': 3, 'Nyere tid': 3, 'Stenalder': 3, 'Jernalder': 1}","En stenbrud er et sted, hvor der er brudt sten, f.eks. i en stenbruderi, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Gårdsplads,Farm space,spa,14,Nyere tid,"{'Nyere tid': 6, 'Middelalder': 3, 'Historisk Tid': 2, 'Udateret': 2, 'Efterreformatorisk tid': 1}","En gårdsplads er et sted, hvor der er plads til at gøre sine fysiske behov, f.eks. at spise, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et hvidt hjemme.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Sti,Path,at,14,Nyere tid,"{'Nyere tid': 5, 'Udateret': 3, 'Jernalder': 2, 'Historisk Tid': 1, 'Middelalder': 1, 'Stenalder': 1, 'Vikingetid': 1}","En sti er et transportmiddel, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Båd-/skibsgrav,Boat/ship grave,at,13,Jernalder,"{'Jernalder': 7, 'Vikingetid': 4, 'Oldtid': 1, 'Stenalder': 1}","En båd- eller skibsgrav er et sted, hvor der er plads til at skibe kan lægge an, og som ofte er kendetegnet ved sine mole, kaje og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Sten- og grenkast,Rock-and-branch casts,code-branch,13,Historisk Tid,"{'Historisk Tid': 5, 'Jernalder': 4, 'Nyere tid': 3, 'Oldtid': 1}","En sten- og grænkast er et sted, hvor der er placeret en sten eller en grænkast, enten til at markere en grænse eller et ejerskab.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Dige (ejerlav),Dig (owner's low),low-vision,13,Historisk Tid,"{'Historisk Tid': 6, 'Nyere tid': 4, 'Udateret': 2, 'Middelalder': 1}","En dige er et gravet hul i jorden, som kan have fungeret som afmærkning af en ejerlav, og som ofte er kendetegnet ved sine bredere målinger end en normal dige.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Vandbeholder/Vandtårn,Water tank/Water tower,water,12,Nyere tid,{'Nyere tid': 12},"En vandbeholder eller vandtårn er et sted, hvor der er plads til at fiskere, og som ofte er kendetegnet ved sine lange, smalle former, der forbinder steder i landskabet.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kisteløs begravelse (jordfæste),Cabbageless burial (screeching),less,12,['Middelalder' 'Nyere tid'],"{'Middelalder': 4, 'Nyere tid': 4, 'Jernalder': 2, 'Historisk Tid': 1, 'Oldtid': 1}","En kisteløs begravelse er en jordfæste, hvor der er flere gravkamre i en jordhøj, og som ofte er kendetegnet ved sine store størrelser og særlige konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Sagntræ,Legendary tree,tree,12,Nyere tid,"{'Nyere tid': 8, 'Historisk Tid': 2, 'Udateret': 2}","Et sagntræ er et stykke af træ, der er brugt til at lave tøj, tæpper eller andre tekstiler.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Bådhus,Boathouse,at,12,Udateret,"{'Udateret': 7, 'Vikingetid': 3, 'Nyere tid': 2}","Et bådhus er et sted, hvor der har været produktion af uld, f.eks. i en uldspinder, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Rituelle pløjespor,Ritual plough tracks,laugh,11,Stenalder,"{'Stenalder': 5, 'Oldtid': 4, 'Bronzealder': 1, 'Jernalder': 1}","En rituel pløjespor er et sted, hvor der har været religiøs aktivitet, og som ofte er kendetegnet ved sine særlige konstruktioner og aktiviteter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Markhegn,Field fence,file,11,Historisk Tid,"{'Historisk Tid': 5, 'Oldtid': 3, 'Nyere tid': 2, 'Middelalder': 1}","Et markhegn er et sted, hvor der er placeret en mark, enten til at markere en grænse eller et ejerskab.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kirkelade,Church Leave,church,11,Middelalder,"{'Middelalder': 7, 'Historisk Tid': 4}","En kirkelade er et sted, hvor der er plads til at opbevare kirkeinventar, f.eks. alter, kerlys og andre religiøse genstande, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kystsikring,Coast protection,route,11,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 3, 'Udateret': 2}","En kystsikring er et sted, hvor der er placeret en kystsikring, enten til at markere en kystgrænse eller et ejerskab.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Grøft (kirkegård),Ditch (Cemetery),meteor,11,Middelalder,"{'Middelalder': 9, 'Historisk Tid': 2}","En grøft er et gravet hul i jorden, som kan have fungeret som afmærkning af en kirkegård, og som ofte er kendetegnet ved sine bredere målinger end en normal dige.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Fiskedam,Fishermen's pond,fish,11,Historisk Tid,"{'Historisk Tid': 8, 'Nyere tid': 3}","En fiskedam er et sted, hvor der har været produktion af fisk, f.eks. laks, torsk eller andre fisk, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Kro,Cinnamon,moon,10,Nyere tid,"{'Nyere tid': 5, 'Historisk Tid': 4, 'Middelalder': 1}","Et kro er et sted, hvor der har været produktion af uld, f.eks. i en uldspinder, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Køretøj,Road vehicle,ad,9,Jernalder,"{'Jernalder': 6, 'Oldtid': 2, 'Bronzealder': 1}","Et køretøj er et stykke af træ, der er brugt til at lave tøj, tæpper eller andre tekstiler.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Dige (skov),Dig (forest),gofore,9,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 4, 'Nyere tid': 4, 'Udateret': 1}","En dige er et gravet hul i jorden, som kan have fungeret som afmærkning af en skov, og som ofte er kendetegnet ved sine bredere målinger end en normal dige.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Fartøj,Vessel,less,9,['Middelalder' 'Nyere tid' 'Oldtid'],"{'Middelalder': 2, 'Nyere tid': 2, 'Oldtid': 2, 'Historisk Tid': 1, 'Udateret': 1, 'Vikingetid': 1}","Et fartøj er et transportmiddel, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Stenhuggeri,Stone sculpture,rev,9,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 3}","En stenhuggeri er et sted, hvor der er placeret en sten eller en række sten, enten til at markere en grænse eller et ejerskab.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Flintmine,Flintmine,line,9,Stenalder,"{'Stenalder': 8, 'Nyere tid': 1}","En flintmine er et sted, hvor der har været produktion af flint, f.eks. i en flintmine, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Skelsten (uspecificeret),Skelstones (unspecified),store,9,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 2, 'Udateret': 1}","En skelsten er en type sten, der ofte bruges til byggeri, f.eks. til facader, trapper eller andre konstruktioner, og som er kendetegnet ved sine kvadratiske eller rektangulære former.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Drivvej,Driveway,google-drive,8,Udateret,"{'Udateret': 4, 'Historisk Tid': 2, 'Middelalder': 1, 'Vikingetid': 1}","En drivvej er et vandløb, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Husmandssted,Housekeeper's place of residence,place-of-worship,8,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 1, 'Middelalder': 1}","Et husmandssted er et sted, hvor der har været en husmand, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Troldebakke,Troll Tray,x-ray,8,Historisk Tid,"{'Historisk Tid': 6, 'Nyere tid': 2}","En troldebakke er et sted, hvor der har været religiøs aktivitet, og som ofte er kendetegnet ved sine særlige konstruktioner og aktiviteter.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Varslingsstation,Warning station,at,8,Nyere tid,{'Nyere tid': 8},"En varslingsstation er et sted, hvor der har været salg af varer, f.eks. i en forretning, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Musling- og østersskaller,Mussels and oyster shells,d-and-d,7,Stenalder,"{'Stenalder': 4, 'Oldtid': 2, 'Jernalder': 1}","En musling- og østersskaller er et sted, hvor der har været produktion af uld, f.eks. i en uldspinder, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Dige (amt/sogn),Dig (county / parish),bars,7,Historisk Tid,"{'Historisk Tid': 4, 'Nyere tid': 2, 'Udateret': 1}","En dige er et gravet hul i jorden, som kan have fungeret som afmærkning af et amt eller sogn, og som ofte er kendetegnet ved sine bredere målinger end en normal dige.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Gartneri,Gartnery,yarn,7,Nyere tid,"{'Nyere tid': 5, 'Historisk Tid': 1, 'Oldtid': 1}","En gartneri er et sted, hvor der har været produktion af frugt, f.eks. æbler, pærer eller andre frugter, og som ofte er kendetegnet ved sine store størrelser og centrale placering.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Park,Park,parking,7,Nyere tid,{'Nyere tid': 7},"En park er et sted, hvor der er plads til at gøre sine fysiske behov, f.eks. at spise, og som ofte er kendetegnet ved sine smukke og velholdte omgivelser.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Bedding,Bedding,bed,7,Nyere tid,"{'Nyere tid': 5, 'Historisk Tid': 2}","En bedding er et sted, hvor der er plads til at gøre sine fysiske behov, f.eks. at spise, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et hvidt hjemme.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
Søfort,Seafort,sort,6,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 3, 'Nyere tid': 3}","En søfort er et vandløb, der er bygget til at skibe kan sejle igennem, og som ofte er kendetegnet ved sine mole, sluicer og andre konstruktioner.","['https://marina.nyborg.dk/en/nyborg-marina/areas-in-nyborg-marina/kongens-skibsbro-the-king-s-ship-bridge/', 'https://glosbe.com/da/da/skibsbro', 'https://ordnet.dk/ddo/ordbog?query=bro']"
